"N_CIENTIFICO";"N_COMUN";"ABUN_REL";"DOM_REL";"X.INDICE_CV."
"Apeiba aspera";"PEINE MONO";2,44897959183673;2,34549679062153;2,39723819122913
"brosimum utile";"SANDE";17,1428571428571;22,2845287294391;19,7136929361481
"brownea herthae";"CLAVELLIN";0,816326530612245;0,411802235949157;0,614064383280701
"Carapa guianensis";"TANGARE";0,816326530612245;0,554449882755993;0,685388206684119
"Cedrela odorata";"CEDRO";1,22448979591837;1,09935341949652;1,16192160770744
"Ceiba pentandra";"CEIBO";0,408163265306122;0,788561525280273;0,598362395293198
"Chrysophyllum amazonicum ";"CAIMITILLO";3,6734693877551;3,54978859972117;3,61162899373814
"Clarisia racemosa";"MORAL BOBO";0,408163265306122;0,0975108080565489;0,252837036681336
"Dacryodes spp.";"ANIME";6,93877551020408;6,89377130651142;6,91627340835775
"Erythrina poeppigiana";"MAMBLA";1,63265306122449;1,57374254858887;1,60319780490668
"Ficus ssp";"MATAPALO";2,04081632653061;3,42951892118824;2,73516762385943
"Genipa americana";"JAGUA";0,816326530612245;0,616036909097272;0,716181719854759
"Humynastrum proserum";"CHANUL";6,53061224489796;7,23796350909752;6,88428787699774
"Hyeronima alchorneoides ";"MASCAREY";5,71428571428571;6,07076199431261;5,89252385429916
"Lomatia hirsuta";"CUCHARILLO";5,30612244897959;5,42118193691784;5,36365219294872
"Minquartia guianensis";"GUAYACAN";0,816326530612245;0,746995638719322;0,781661084665784
"Myroxylon balsamum";"SANDALO";0,816326530612245;0,294484544940347;0,555405537776296
"Nectandra reticulata";"JIGUA";0,408163265306122;0,19283143197334;0,300497348639731
"Ocotea insularis";"CALADE";1,22448979591837;0,819271716207315;1,02188075606284
"Otoba spp.";"CUANGARE";3,6734693877551;2,95229683660989;3,31288311218249
"Parinari romeroi";"CUERO DE SAPO";2,85714285714286;2,60879501818194;2,7329689376624
"Persea rigens";"AMARILLO";2,04081632653061;1,51403622376784;1,77742627514923
"Picus insipida";"HIGUERON";0,408163265306122;0,617084388696849;0,512623827001486
"Platymiscium pinnatum";"CAOBA";5,71428571428571;4,56434380211804;5,13931475820188
"Poulsenia armata";"DAMAGUA";0,408163265306122;0,100581827105605;0,254372546205864
"Pseudolmedia eggersii";"GUION";0,408163265306122;0,184356371648624;0,296259818477373
"SP2";"NAGUARE";8,97959183673469;8,13512960087443;8,55736071880456
"TOTAL";"TOTAL";100;100;100
"trattinnickia aspera";"COPAL";4,89795918367347;5,93292323004279;5,41544120685813
"Trichospermum spp.";"PICHANGO";0,408163265306122;0,729069457483426;0,568616361394774
"Virola spp.";"CHALVIANDE";6,93877551020408;5,50469461233526;6,22173506126967
"Vochysia spp. ";"LAGUNO";3,6734693877551;2,6311253742044;3,15229738097975
"Zanthoxylum riedelianum";"AZAFRAN";0,408163265306122;0,0975108080565489;0,252837036681336
